topology,run,phase,algo,u,v,cap_uniform,cap_before_stress,cap_after_stress,usage_routed,util_routed,usage_shortest_init,usage_routed_init,util_shortest_init,util_routed_init,violated,num_switches,switches,paths,ebc,is_stressed,stress_threshold,cap_change_pct,alpha,beta,link_sens,k_paths,load_sens,controller_sens
AttMpls,0,INIT,MCF_PATH,10,23,100600.0,65245.114,65245.114,47616.0,0.7298,49536.0,47616.0,0.7592,0.7298,0,2,24|25,24:24->23->10->4->7->2 || 25:25->23->10->4->7->2,0.04,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,11,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,11,14,100600.0,32931.009,32931.009,23040.0,0.6996,23040.0,23040.0,0.6996,0.6996,0,1,11,11:11->14->10->4,0.066667,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,11,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,12,14,100600.0,20345.54,20345.54,15488.0,0.7612,15488.0,15488.0,0.7612,0.7612,0,1,12,12:12->14->9->4,0.06,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,12,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,13,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,13,14,100600.0,65924.974,65924.974,21248.0,0.3223,45184.0,21248.0,0.6854,0.3223,0,1,13,13:13->14->10->3,0.086667,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,14,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,14,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,14,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,14,23,100600.0,36770.851,36770.851,25856.0,0.7032,0.0,25856.0,0.0,0.7032,0,1,23,23:23->14->6->8->1->2,0.033333,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,16,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,16,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,16,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,17,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,18,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,18,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,18,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,18,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,18,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,19,22,100600.0,30291.592,30291.592,21888.0,0.7226,21888.0,21888.0,0.7226,0.7226,0,1,19,19:19->22->3,0.043333,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,20,21,100600.0,38390.306,38390.306,24704.0,0.6435,24704.0,24704.0,0.6435,0.6435,0,1,20,20:20->21->3,0.036667,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,22,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,23,24,100600.0,41292.423,41292.423,23680.0,0.5735,23680.0,23680.0,0.5735,0.5735,0,1,24,24:24->23->10->4->7->2,0.063333,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,23,25,100600.0,34791.539,34791.539,23936.0,0.688,0.0,23936.0,0.0,0.688,0,1,25,25:25->23->10->4->7->2,0.043333,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,24,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,1,2,100600.0,78416.701,78416.701,73344.0,0.9353,73344.0,75264.0,0.9353,0.9598,0,3,"(21, 2)|(22, 2)|(25, 2)","(21, 2):21->3->1->2 || (22, 2):22->3->1->2 || (25, 2):25->13->14->6->8->1->2",0.06,1,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
