batch_ts,run_index,topology,algo,nodes,num_switches,num_controllers,objective,alpha,beta,k_paths,link_sens,obj_value,solve_time_sec,mip_gap,status,ctrl_load_mean_init,ctrl_load_mean_final,ctrl_load_max_init,ctrl_load_max_final,ctrl_capacity_mean,ctrl_usable_capacity_mean,mig_total,mig_count,mig_cc,mig_rt_penalty,load_dev_init,load_dev_final,ctrl_util_mean_init,ctrl_util_mean_final,ctrl_util_max_init,ctrl_util_max_final,delta_ctrl_util_max,ctrl_util_p95_init,ctrl_util_p95_final,ctrl_util_std_final,ctrl_util_cov_final,jain_load_init,jain_load_final,ctrl_headroom_mean_final,ctrl_headroom_p50_final,ctrl_headroom_p95_final,rt_mean_init_ms,rt_mean_final_ms,delta_rt_mean_ms,rt_max_init_ms,rt_max_final_ms,rt_p95_init_ms,rt_p95_final_ms,delta_rt_p95_ms,prop_delay_mean_ms,prop_delay_max_ms,queue_delay_mean_ms,queue_delay_max_ms,sync_delay_ms,ctrl_rt_mean_ms,ctrl_rt_p95_ms,ctrl_rt_max_ms,unstable_controllers,link_util_mean,link_util_max,link_util_p95,violated_links_count,excess_util_total,rebalanced_load_total
20260624_121024,0,AttMpls,,25,25,4,maxmin,0.5,0.5,5,0.0,2955395.901658617,0.004845415998715907,0.0,SUCCESS,nan,1112.25,nan,1340.0,1660.25,1328.2,3117131.1267734533,5,3117126.1267734533,0.0,1490.0,548.0,0.6731576447463536,0.6707582044315564,0.974510966212211,0.7943094250148192,-0.18020154119739185,0.9700372423493663,0.7857285799387927,0.12279282336321408,0.18306570467859815,0.7834689779770878,0.9686371821280146,0.3292417955684436,0.2903745217830044,0.49862635437529446,50.837908693201555,nan,nan,inf,143.12125102777853,nan,nan,nan,18.169833195782676,45.4108636277099,37.61532554233085,104.1666666666652,15.090555517618368,0.0,0.0,0.0,0,0.6879758906833671,1.3443532108676752,1.0377505011484887,5,1.3037072911755092,638.0
20260624_121024,0,AttMpls,,25,0,0,maxmin,0.5,0.5,5,0.0,,0.0,,EXCEPTION_NameError_name 'run_baseline3_easm_exact' is not defined,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
20260624_121026,0,CrlNetworkServices,,33,33,5,maxmin,0.5,0.5,5,0.0,4518758.566072561,0.024098673995467834,0.0,SUCCESS,nan,1176.0,nan,1456.0,1764.0,1411.2000000000003,4584769.138286448,7,4584762.138286448,0.0,1651.0,700.0,0.6651733490131926,0.6662798490438872,0.9983050847457627,0.7978848413631022,-0.2004202433826605,0.995160126588118,0.7968271980768726,0.15614770723890786,0.23435754129887032,0.7496708546331005,0.9461333601876591,0.33372015095611285,0.2180790960451977,0.5519294385654067,35.060056851032655,nan,nan,inf,351.7590201621165,nan,nan,nan,19.103354312899828,48.86614896665297,93.24937417468388,277.77777777776726,25.115093417696233,0.0,0.0,0.0,0,0.6401909191957572,0.9353109641873489,0.8487494868455264,3,0.23799228935339667,951.0
20260624_121026,0,CrlNetworkServices,,33,0,0,maxmin,0.5,0.5,5,0.0,,0.0,,EXCEPTION_NameError_name 'run_baseline3_easm_exact' is not defined,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
20260624_121028,0,Xspedius,,34,34,6,maxmin,0.5,0.5,5,0.0,8005539.511391126,0.008091608004178852,0.0,SUCCESS,nan,1004.8333333333334,nan,1240.0,1529.8333333333333,1223.8666666666666,8609144.525214784,6,8609138.525214784,0.0,1407.0,885.0,0.6546862513845018,0.6556550874239949,0.9911111111111112,0.7965990843688685,-0.19451202674224266,0.9838500109003707,0.7942747101020482,0.2007423010272156,0.3061705840122626,0.7346955609511755,0.9113829467416958,0.344344912576005,0.23924543132246023,0.6758625699667988,47.95404179625805,nan,nan,inf,262.08872595551486,nan,nan,nan,10.060487088975272,24.527000674348823,60.027073051129136,192.30769230769062,47.0068321347231,0.0,0.0,0.0,0,0.6186165851694588,1.0867295697169306,0.8548034885947224,3,0.46400874688939897,939.0
20260624_121028,0,Xspedius,,34,0,0,maxmin,0.5,0.5,5,0.0,,0.0,,EXCEPTION_NameError_name 'run_baseline3_easm_exact' is not defined,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
20260624_121032,0,Geant2010,,37,37,6,maxmin,0.5,0.5,5,0.0,4346753.48478406,0.09181875400827266,0.0,SUCCESS,nan,1100.0,nan,1387.0,1675.3333333333333,1340.2666666666667,4435098.130320894,8,4435090.130320894,0.0,1579.0,1216.0,0.6517542136112111,0.6533283320827884,0.9971231300345225,0.7980437284234753,-0.1990794016110472,0.9929516685845801,0.7975154414402875,0.24908425139982343,0.3812543236962514,0.7244942112313767,0.8685893677961519,0.34667166791721166,0.22764064295891667,0.7526101120707067,19.715126429325373,nan,nan,inf,342.8673290243878,nan,nan,nan,11.274502102434472,29.894879731442973,101.03159386769399,294.11764705881563,18.85480223412917,0.0,0.0,0.0,0,0.6798692893072493,1.923184868529823,1.1608769180881693,5,2.5113276149548414,1111.0
20260624_121032,0,Geant2010,,37,0,0,maxmin,0.5,0.5,5,0.0,,0.0,,EXCEPTION_NameError_name 'run_baseline3_easm_exact' is not defined,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
20260624_121035,0,Palmetto,,45,45,7,maxmin,0.5,0.5,5,0.0,449290.40260632656,0.02274130300793331,0.0,SUCCESS,nan,1142.4285714285713,nan,1428.0,1740.142857142857,1392.1142857142856,480014.2728425199,7,480007.2728425199,0.0,1627.0,997.0,0.6489118193540674,0.6532432807570119,0.9933073061907418,0.7964305633017289,-0.1968767428890129,0.9929726715002789,0.796430563301729,0.19428740908381958,0.29741968238642935,0.7314962567841573,0.9109348243688079,0.34675671924298823,0.22421784472769413,0.6771084071308248,5.624387166548514,nan,nan,inf,163.2455617906707,nan,nan,nan,2.2054426048571925,5.1001918842688205,76.26037810249719,156.24999999999778,2.4966808928851236,0.0,0.0,0.0,0,0.6470720758329112,0.9736263396236375,0.8182035343632982,4,0.33982113331137476,1238.0
20260624_121035,0,Palmetto,,45,0,0,maxmin,0.5,0.5,5,0.0,,0.0,,EXCEPTION_NameError_name 'run_baseline3_easm_exact' is not defined,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
